candidate_id,source_file,location,evidence_type,possible_role,confidence,next_test
CTX-001,pass616/pass618 summaries,algorithm sections,context_layout_candidate,C2S and S2C appear to use same stream/key-roll formula but independent initial key state,high,"trace direction-specific initial key assignment, not cipher formula"
CTX-002,pass618_sonnet_s2c_decoder_summary.md,Root cause,seed_derivation_candidate,S2C initial key is session-derived from encrypted world-server handshake seed,medium,static trace handshake seed extraction/assignment into recv/S2C key slot
CTX-003,pass618_sonnet_s2c_anchor_candidates.csv,checkpoint rows,negative_control,checkpoint key 4e99ca25a16c5487 invalidated; must not be reused as evidence,high,exclude checkpoint key from validation unless new static evidence reintroduces it
S2C-004,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,3,direction_split_candidate,direction-specific S2C/recv/decode reference; useful for routing static trace,medium,static trace to concrete assignment/write into S2C key slot
S2C-005,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,13,direction_split_candidate,direction-specific S2C/recv/decode reference; useful for routing static trace,medium,static trace to concrete assignment/write into S2C key slot
S2C-006,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,26,negative_control,invalidated checkpoint key negative control,high,exclude from candidate keys
S2C-007,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,26,negative_control,invalidated checkpoint key negative control,high,exclude from candidate keys
S2C-008,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,27,seed_derivation_candidate,handshake/seed reference; may identify S2C initial-key setup but no assignment target is proven,medium,static trace to concrete assignment/write into S2C key slot
S2C-009,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,1,direction_split_candidate,direction-specific S2C/recv/decode reference; useful for routing static trace,medium,static trace to concrete assignment/write into S2C key slot
S2C-010,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,21,direction_split_candidate,direction-specific S2C/recv/decode reference; useful for routing static trace,medium,static trace to concrete assignment/write into S2C key slot
S2C-011,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,29,negative_control,invalidated checkpoint key negative control,high,exclude from candidate keys
S2C-012,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,29,negative_control,invalidated checkpoint key negative control,high,exclude from candidate keys
S2C-013,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,38,packet_setup_candidate,cipher/key routine reference; likely shared transform rather than initial-key source,medium,static trace to concrete assignment/write into S2C key slot
S2C-014,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,56,seed_derivation_candidate,handshake/seed reference; may identify S2C initial-key setup but no assignment target is proven,medium,static trace to concrete assignment/write into S2C key slot
S2C-015,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,56,seed_derivation_candidate,handshake/seed reference; may identify S2C initial-key setup but no assignment target is proven,medium,static trace to concrete assignment/write into S2C key slot
S2C-016,C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,57,seed_derivation_candidate,handshake/seed reference; may identify S2C initial-key setup but no assignment target is proven,medium,static trace to concrete assignment/write into S2C key slot
S2C-017,C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,1,direction_split_candidate,direction-specific S2C/recv/decode reference; useful for routing static trace,medium,static trace to concrete assignment/write into S2C key slot
S2C-018,C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,47,packet_setup_candidate,cipher/key routine reference; likely shared transform rather than initial-key source,medium,static trace to concrete assignment/write into S2C key slot
S2C-019,C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,67,direction_split_candidate,direction-specific S2C/recv/decode reference; useful for routing static trace,medium,static trace to concrete assignment/write into S2C key slot
S2C-020,C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,68,seed_derivation_candidate,handshake/seed reference; may identify S2C initial-key setup but no assignment target is proven,low,static trace to concrete assignment/write into S2C key slot
S2C-021,C:\AionTools\aion-agent-bridge\artifacts\pass617_sonnet_c2s_chat_extractor_summary.md,61,direction_split_candidate,direction-specific S2C/recv/decode reference; useful for routing static trace,medium,static trace to concrete assignment/write into S2C key slot
S2C-022,C:\AionTools\aion-agent-bridge\inbox\codex_report.md,1,direction_split_candidate,direction-specific S2C/recv/decode reference; useful for routing static trace,medium,static trace to concrete assignment/write into S2C key slot
S2C-023,C:\AionTools\aion-agent-bridge\inbox\codex_report.md,5,seed_derivation_candidate,handshake/seed reference; may identify S2C initial-key setup but no assignment target is proven,low,static trace to concrete assignment/write into S2C key slot
S2C-024,C:\AionTools\aion-agent-bridge\inbox\codex_report.md,5,seed_derivation_candidate,handshake/seed reference; may identify S2C initial-key setup but no assignment target is proven,low,static trace to concrete assignment/write into S2C key slot
