candidate_id,source_file,location,address_or_symbol,evidence_type,possible_role,confidence,next_test
P622-001,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,2,0x11B566B4,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-004,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,80,0x11B56C63,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-006,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,121,0x11B54E6F,VM_dispatch_path,handler table base,high,export xrefs/data refs and dispatcher caller context
P622-007,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,138,0x11B562BD,VM_dispatch_path,"dispatcher bytecode fetch from RSI; confirms VM stream, not packet buffer",high,export caller/context setup that initializes RSI/RBP before this dispatcher
P622-008,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,166,0x11B5630F,VM_dispatch_path,handler table lookup via R12+RAX*8,high,export decoded VM bytecode sequence or native caller xrefs
P622-010,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,276,0x11B57796,real_static_export,handler reads VM operand from RSI and rejoins dispatcher; no recv/key write proven,medium,trace only if real handshake VM bytecode reaches this handler
P622-013,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,2,0x11B566B4,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-017,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,516,0x11B56C63,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-019,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,789,0x11B54E6F,VM_dispatch_path,handler table base,high,export xrefs/data refs and dispatcher caller context
P622-021,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,957,0x11B562BD,VM_dispatch_path,"dispatcher bytecode fetch from RSI; confirms VM stream, not packet buffer",high,export caller/context setup that initializes RSI/RBP before this dispatcher
P622-022,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,1184,0x11B5630F,VM_dispatch_path,handler table lookup via R12+RAX*8,high,export decoded VM bytecode sequence or native caller xrefs
P622-025,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,2232,0x11B57796,real_static_export,handler reads VM operand from RSI and rejoins dispatcher; no recv/key write proven,medium,trace only if real handshake VM bytecode reaches this handler
P622-029,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,2,0x11B566B4,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-104,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,77,0x11B56C63,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-132,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,130,0x11B562BD,VM_dispatch_path,"dispatcher bytecode fetch from RSI; confirms VM stream, not packet buffer",high,export caller/context setup that initializes RSI/RBP before this dispatcher
P622-134,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,158,0x11B5630F,VM_dispatch_path,handler table lookup via R12+RAX*8,high,export decoded VM bytecode sequence or native caller xrefs
P622-136,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,261,0x11B57796,real_static_export,handler reads VM operand from RSI and rejoins dispatcher; no recv/key write proven,medium,trace only if real handshake VM bytecode reaches this handler
P622-148,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,2,0x11B54E6F,VM_dispatch_path,handler table base,high,export xrefs/data refs and dispatcher caller context
P622-149,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,28,0x11B55DF6,real_static_export,handler table candidate requested by task; currently unconnected to recv/S2C key path,low,needs VM bytecode/caller connection
P622-152,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,115,0x11B57796,real_static_export,handler reads VM operand from RSI and rejoins dispatcher; no recv/key write proven,medium,trace only if real handshake VM bytecode reaches this handler
P622-154,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,134,0x11B5932F,real_static_export,handler table/SETZ class candidate; no recv/key write proven,medium,trace only if real handshake VM bytecode reaches this handler
P622-323,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_disassembly.txt,7,0x11B566B4,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-325,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_disassembly.txt,16,0x11B56C63,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-327,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_disassembly.txt,25,0x11B54E6F,VM_dispatch_path,handler table base,high,export xrefs/data refs and dispatcher caller context
P622-328,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_disassembly.txt,42,0x11B562BD,VM_dispatch_path,"dispatcher bytecode fetch from RSI; confirms VM stream, not packet buffer",high,export caller/context setup that initializes RSI/RBP before this dispatcher
