candidate_id,source_file,location,address_or_symbol,evidence_type,possible_role,confidence,next_test
RHS-001,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,138,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-002,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,166,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-003,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,276,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-004,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,277,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-005,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,321,memory-write,context_layout_candidate,VM stack/context write in exported slice; no S2C key slot proven,low,need caller/context mapping to distinguish VM stack from packet key state
RHS-006,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,957,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-007,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,1184,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-008,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,2232,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-009,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,2233,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-010,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,2566,memory-write,context_layout_candidate,VM stack/context write in exported slice; no S2C key slot proven,low,need caller/context mapping to distinguish VM stack from packet key state
RHS-011,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,130,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-012,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,131,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-013,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,158,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-014,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,159,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-015,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,261,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-016,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,262,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-017,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,263,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
