variant,source_evidence,offset,include_previous_byte_chaining,packet_size_key_update,frame_number,oracle_message,payload_len,exact_oracle_match,utf16le_containment,matched_messages,decoded_prefix_hex,decoded_prefix_ascii
identity_control,public_reference_or_source_truthing_control,0,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f236d01fa2e38e3b0002411f6b,.....\.xF.6.....;..A.k
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,0,no,no,7166,KX01_A,22,no,no,,7ef6d120365390aecf8f0862dcbecd6fc0573989f062,~.. 6S.....b...o.W9..b
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,0,no,yes,7166,KX01_A,22,no,no,,08f6d120365390aeb98f0862dcbecd6fb6573989f062,... 6S.....b...o.W9..b
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,0,yes,no,7166,KX01_A,22,no,no,,7e3150d6c793cc1eb7c9fa540ca16f8c4e6c398bb17d,~1P........T..o.Nl9..}
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,0,yes,yes,7166,KX01_A,22,no,no,,083150d6c793cc1ec1c9fa540ca16f8c386c398bb17d,.1P........T..o.8l9..}
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,2,no,no,7166,KX01_A,22,no,no,,c7814f86e78d46776624bfad2110209215e1f91624a3,..O...Fwf$..!. .....$.
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,2,no,yes,7166,KX01_A,22,no,no,,c7813b86e78d46776624cbad2110209215e18d1624a3,..;...Fwf$..!. .....$.
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,2,yes,no,7166,KX01_A,22,no,no,,c7814f70164d1ac71e624d9bf10f82719bdaf91465bc,..Op.M...bM....q....e.
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,2,yes,yes,7166,KX01_A,22,no,no,,c7813b70164d1ac71e62399bf10f82719bda8d1465bc,..;p.M...b9....q....e.
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,8,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb078ff851101e9adc358b27d3cf3dc77,.....\.x.......X.}<..w
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,8,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07881851101e9adc358cc7d3cf3dc77,.....\.x.......X.}<..w
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,8,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb078ffc3e33739b261bb3c463cf19d68,.....\.x...79.a.<F<..h
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,8,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07881c3e33739b261bb42463cf19d68,.....\.x...79.a.BF<..h
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,10,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f28fa7387315811bd68b3c21d9,.....\.xF...8s.....<!.
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,10,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2f3a7387315811bd6f73c21d9,.....\.xF...8s.....<!.
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,10,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f28f91e86cb76295ed8b3e60c6,.....\.xF....l.b...>`.
