combined_model_id,frame_model_id,header_size,length_rule,message_type_field,channel_field,body_start,repeat_score,channel_score,parser_constraint_score,negative_control_score,total_score,confidence,reason
cm001,fm03410,16,off8_w1_little,8,candidate,16,0.625,1.0,0.875,0.5,73.698,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm002,fm03411,16,off8_w1_little,8,candidate,16,0.625,1.0,0.875,0.5,73.698,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm003,fm03414,16,off8_w1_big,8,candidate,16,0.625,1.0,0.875,0.5,73.698,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm004,fm03415,16,off8_w1_big,8,candidate,16,0.625,1.0,0.875,0.5,73.698,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm005,fm03409,16,off8_w1_little,8,candidate,16,0.625,1.0,0.875,0.5,73.694,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm006,fm03412,16,off8_w1_little,8,candidate,16,0.625,1.0,0.875,0.5,73.694,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm007,fm03413,16,off8_w1_big,8,candidate,16,0.625,1.0,0.875,0.5,73.694,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm008,fm03416,16,off8_w1_big,8,candidate,16,0.625,1.0,0.875,0.5,73.694,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm009,fm03610,16,off15_w1_little,15,candidate,16,0.625,1.0,0.875,0.5,73.692,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm010,fm03611,16,off15_w1_little,15,candidate,16,0.625,1.0,0.875,0.5,73.692,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm011,fm03614,16,off15_w1_big,15,candidate,16,0.625,1.0,0.875,0.5,73.692,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm012,fm03615,16,off15_w1_big,15,candidate,16,0.625,1.0,0.875,0.5,73.692,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm013,fm03218,16,off2_w1_little,2,candidate,16,0.625,1.0,0.875,0.5,73.692,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm014,fm03219,16,off2_w1_little,2,candidate,16,0.625,1.0,0.875,0.5,73.692,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm015,fm03222,16,off2_w1_big,2,candidate,16,0.625,1.0,0.875,0.5,73.692,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm016,fm03223,16,off2_w1_big,2,candidate,16,0.625,1.0,0.875,0.5,73.692,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm017,fm03612,16,off15_w1_little,15,candidate,16,0.625,1.0,0.875,0.5,73.688,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm018,fm03616,16,off15_w1_big,15,candidate,16,0.625,1.0,0.875,0.5,73.688,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm019,fm03217,16,off2_w1_little,2,candidate,16,0.625,1.0,0.875,0.5,73.688,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
cm020,fm03221,16,off2_w1_big,2,candidate,16,0.625,1.0,0.875,0.5,73.688,medium,"coherent model rank combining framing, field, repeat, channel, and existing parser constraints"
