parser_id,parser_path,frame_model_id,body_model_id,body_start,trailer_len,performs_sequence_reassembly,performs_body_transform,generated,confidence,reason
p001,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p001.py,fm03410,bm0001,14,0,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
p002,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p002.py,fm03410,bm0002,14,1,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
p003,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p003.py,fm03410,bm0003,14,2,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
p004,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p004.py,fm03410,bm0004,14,4,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
p005,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p005.py,fm03410,bm0005,14,8,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
p006,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p006.py,fm03410,bm0006,15,0,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
p007,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p007.py,fm03410,bm0007,15,1,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
p008,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p008.py,fm03410,bm0008,15,2,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
p009,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p009.py,fm03410,bm0009,15,4,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
p010,C:\AionTools\aion-agent-bridge\tools\pass656_sequence_correct_body_transform\generated_parsers\parser_p010.py,fm03410,bm0010,15,8,true,true,true,medium,"complete parser: sequence reassembly, deterministic split, body extraction, transform scan"
