candidate_id,function_or_address,write_pattern,evidence,possible_role,confidence,next_test
P622-KS-001,0x11B5863D FUN_11b5863d,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B5863D (unique, 0xca000, 1) INT_AND (register, 0x8, 1) , (const, 0xf, 1)\n0x11B5863D (unique, 0xca200, 1) INT_AND (register, 0x8, 1) , (const, 0x1f, 1)\n0x1",possible S2C rolling-key slot write if reachable from receive/world handshake path,medium,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
P622-KS-002,0x11B559CD FUN_11b559cd,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B559CD (unique, 0x4f900, 8) COPY (register, 0x0, 8)\n0x11B559CD (register, 0x20, 8) INT_SUB (register, 0x20, 8) , (const, 0x8, 8)\n0x11B559CD  ---  STORE (c",possible S2C rolling-key slot write if reachable from receive/world handshake path,medium,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
P622-KS-003,0x11B59392 FUN_11b59392,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B59392 (register, 0x200, 1) INT_NOTEQUAL (register, 0x0, 4) , (const, 0x0, 4)\n0x11B59392 (register, 0x20b, 1) INT_SBORROW (const, 0x0, 4) , (register, 0x0,",possible S2C rolling-key slot write if reachable from receive/world handshake path,medium,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
P622-KS-004,0x11B581C1 FUN_11b581c1,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B581C1 (unique, 0x6a200, 4) INT_AND (register, 0x28, 4) , (const, 0xff000000, 4)\n0x11B581C1 (unique, 0x6a400, 4) INT_RIGHT (unique, 0x6a200, 4) , (const, 0",possible S2C rolling-key slot write if reachable from receive/world handshake path,medium,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
P622-KS-005,0x11B57BDB FUN_11b57bdb,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B57BDB (register, 0xa8, 8) INT_ZEXT (register, 0x8, 1)\n0x11B57BDF (register, 0xa8, 8) COPY (const, 0x5830a3f3, 8)\n0x11B57BE5 (register, 0xa8, 2) INT_SEXT ",possible S2C rolling-key slot write if reachable from receive/world handshake path,medium,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
P622-KS-006,0x11B56B2C FUN_11b56b2c,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B56B2C (register, 0x0, 8) COPY (const, 0x0, 8)\n0x11B56B36 (unique, 0x6d300, 4) INT_AND (register, 0x20, 4) , (const, 0x1f, 4)\n0x11B56B36 (unique, 0x6d400,",possible S2C rolling-key slot write if reachable from receive/world handshake path,medium,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
P622-KS-007,0x11B564BE FUN_11b564be,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B564BE (unique, 0x4f900, 8) COPY (register, 0x10, 8)\n0x11B564BE (register, 0x20, 8) INT_SUB (register, 0x20, 8) , (const, 0x8, 8)\n0x11B564BE  ---  STORE (",possible S2C rolling-key slot write if reachable from receive/world handshake path,medium,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
P622-KS-008,0x11B57075 FUN_11b57075,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B57075 (unique, 0x4f900, 8) COPY (register, 0x28, 8)\n0x11B57075 (register, 0x20, 8) INT_SUB (register, 0x20, 8) , (const, 0x8, 8)\n0x11B57075  ---  STORE (",possible S2C rolling-key slot write if reachable from receive/world handshake path,medium,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
P622-KS-009,0x11B59765 FUN_11b59765,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B59765 (register, 0x28, 2) INT_SEXT (register, 0x18, 1)\n0x11B59769 (unique, 0xa600, 8) INT_ADD (const, 0xffffffffb63e3bed, 8) , (register, 0x20, 8)\n0x11B5",possible S2C rolling-key slot write if reachable from receive/world handshake path,low,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
P622-KS-010,0x11B58D6C FUN_11b58d6c,write+key-arithmetic-nearby,"Git-safe write hint: 0x11B58D6C (register, 0x28, 2) INT_ZEXT (register, 0x10, 1)\n0x11B58D70 (register, 0x28, 2) INT_NEGATE (register, 0x28, 2)\n0x11B58D73 (unique, 0x4f900, 8) COPY",possible S2C rolling-key slot write if reachable from receive/world handshake path,low,"inspect local p-code/decompile for source seed, context base, and direction slot offset; do not commit raw export bytes"
