transition,callsite_address,argument_register,argument_role_hypothesis,immediate_varnode,definition_chain,one_caller_up,resolved_status,exact_local_file
0x1195DA7B->0x11B50330,0x1195DA7B,RCX,vm_context_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,0x11B503FD->0x1195DA7B passthrough inspected for first transition; no argument materialization there either,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\1195DA7B_thunk_FUN_11b50330.pcode.txt
0x1195DA7B->0x11B50330,0x1195DA7B,RDX,input_receive_buffer_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,0x11B503FD->0x1195DA7B passthrough inspected for first transition; no argument materialization there either,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\1195DA7B_thunk_FUN_11b50330.pcode.txt
0x1195DA7B->0x11B50330,0x1195DA7B,R8,input_or_aux_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,0x11B503FD->0x1195DA7B passthrough inspected for first transition; no argument materialization there either,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\1195DA7B_thunk_FUN_11b50330.pcode.txt
0x1195DA7B->0x11B50330,0x1195DA7B,R9,direction_or_aux_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,0x11B503FD->0x1195DA7B passthrough inspected for first transition; no argument materialization there either,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\1195DA7B_thunk_FUN_11b50330.pcode.txt
0x11B50330->0x11B56C63,0x119BAEAB,RCX,vm_context_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,caller 0x1195DA7B is tail thunk into 0x11B50330; no argument materialization emitted,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B50330->0x11B56C63,0x119BAEAB,RDX,input_receive_buffer_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,caller 0x1195DA7B is tail thunk into 0x11B50330; no argument materialization emitted,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B50330->0x11B56C63,0x119BAEAB,R8,input_or_aux_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,caller 0x1195DA7B is tail thunk into 0x11B50330; no argument materialization emitted,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B50330->0x11B56C63,0x119BAEAB,R9,direction_or_aux_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,caller 0x1195DA7B is tail thunk into 0x11B50330; no argument materialization emitted,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B50330->0x11B56C63,0x11B50340,RCX,vm_context_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,caller 0x1195DA7B is tail thunk into 0x11B50330; no argument materialization emitted,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B50330->0x11B56C63,0x11B50340,RDX,input_receive_buffer_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,caller 0x1195DA7B is tail thunk into 0x11B50330; no argument materialization emitted,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B50330->0x11B56C63,0x11B50340,R8,input_or_aux_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,caller 0x1195DA7B is tail thunk into 0x11B50330; no argument materialization emitted,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B50330->0x11B56C63,0x11B50340,R9,direction_or_aux_candidate,not_materialized_in_callsite_arguments,no local definition before tail branch/call in generated p-code; treated as live-through from caller,caller 0x1195DA7B is tail thunk into 0x11B50330; no argument materialization emitted,not_resolved_but_followed_to_live_in,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
